x-axis,v1,v2
second,Volt,Volt
+179.688E-06,+2.561369346E+00,+1.319174013E+00
+181.250E-06,+2.586092964E+00,+1.102591101E+00
+182.813E-06,+2.610816582E+00,+886.008188E-03
+184.375E-06,+2.635540200E+00,+669.425276E-03
+185.938E-06,+2.660263817E+00,+452.842364E-03
+187.500E-06,+2.684987435E+00,+236.259452E-03
+189.063E-06,+2.709912058E+00,+222.189100E-03
+190.625E-06,+2.734836681E+00,+208.118748E-03
+192.188E-06,+2.759761304E+00,+194.048397E-03
+193.750E-06,+2.784685927E+00,+179.978045E-03
+195.313E-06,+2.809610549E+00,+165.907694E-03
+196.875E-06,+2.834535172E+00,+151.837342E-03
+198.438E-06,+2.859459795E+00,+137.766990E-03
+200.000E-06,+2.884384418E+00,+123.696639E-03
+201.563E-06,+2.909309041E+00,+109.626287E-03
+203.125E-06,+2.934233664E+00,+95.555936E-03
+204.688E-06,+2.959560297E+00,+88.269504E-03
+206.250E-06,+2.984886929E+00,+80.983071E-03
+207.813E-06,+3.010213562E+00,+73.696639E-03
+209.375E-06,+3.035540195E+00,+66.410207E-03
+210.938E-06,+3.060866828E+00,+59.123775E-03
+212.500E-06,+3.086193461E+00,+51.837343E-03
+214.063E-06,+3.111520094E+00,+44.550911E-03
+215.625E-06,+3.136846727E+00,+37.264479E-03
+217.188E-06,+3.162173360E+00,+29.978047E-03
+218.750E-06,+3.187499993E+00,+22.691615E-03
+220.313E-06,+3.212022605E+00,+19.676539E-03
+221.875E-06,+3.236545218E+00,+16.661464E-03
+223.438E-06,+3.261067831E+00,+13.646389E-03
+225.000E-06,+3.285590444E+00,+10.631313E-03
+226.563E-06,+3.310113057E+00,+7.616238E-03
+228.125E-06,+3.334635669E+00,+4.601163E-03
+229.687E-06,+3.359158282E+00,+1.586087E-03
+231.250E-06,+3.383680895E+00,-1.428988E-03
+232.812E-06,+3.408203508E+00,-4.444063E-03
+234.375E-06,+3.432726121E+00,-7.459139E-03
+235.937E-06,+3.456846723E+00,-7.961651E-03
+237.500E-06,+3.480967326E+00,-8.464164E-03
+239.062E-06,+3.505087929E+00,-8.966676E-03
+240.625E-06,+3.529208532E+00,-9.469189E-03
+242.187E-06,+3.553329134E+00,-9.971701E-03
+243.750E-06,+3.577449737E+00,-10.474214E-03
+245.312E-06,+3.601570340E+00,-10.976727E-03
+246.875E-06,+3.625690943E+00,-11.479239E-03
+248.437E-06,+3.649811545E+00,-11.981752E-03
+250.000E-06,+3.673932148E+00,-12.484264E-03
+251.562E-06,+3.696645716E+00,-12.484264E-03
+253.125E-06,+3.719359283E+00,-12.484264E-03
+254.687E-06,+3.742072851E+00,-12.484264E-03
+256.250E-06,+3.764786419E+00,-12.484264E-03
+257.812E-06,+3.787499986E+00,-12.484264E-03
+259.375E-06,+3.810213554E+00,-12.484264E-03
+260.937E-06,+3.832927121E+00,-12.484264E-03
+262.500E-06,+3.855640689E+00,-12.484264E-03
+264.062E-06,+3.878354257E+00,-12.484264E-03
+265.625E-06,+3.901067824E+00,-12.484264E-03
+267.187E-06,+3.922575362E+00,-12.484264E-03
+268.750E-06,+3.944082899E+00,-12.484264E-03
+270.312E-06,+3.965590437E+00,-12.484264E-03
+271.875E-06,+3.987097974E+00,-12.484264E-03
+273.437E-06,+4.008605511E+00,-12.484264E-03
+275.000E-06,+4.030113049E+00,-12.484264E-03
+276.562E-06,+4.051620586E+00,-12.484264E-03
+278.125E-06,+4.073128124E+00,-12.484264E-03
+279.687E-06,+4.094635661E+00,-12.484264E-03
+281.250E-06,+4.116143199E+00,-12.484264E-03
+282.812E-06,+4.136243701E+00,-12.735520E-03
+284.375E-06,+4.156344203E+00,-12.986777E-03
+285.937E-06,+4.176444706E+00,-13.238033E-03
+287.500E-06,+4.196545208E+00,-13.489289E-03
+289.062E-06,+4.216645710E+00,-13.740546E-03
+290.625E-06,+4.236746213E+00,-13.991802E-03
+292.187E-06,+4.256846715E+00,-14.243058E-03
+293.750E-06,+4.276947217E+00,-14.494314E-03
+295.312E-06,+4.297047719E+00,-14.745571E-03
+296.875E-06,+4.317148222E+00,-14.996827E-03
+298.437E-06,+4.335841689E+00,-14.745571E-03
+300.000E-06,+4.354535156E+00,-14.494314E-03
+301.562E-06,+4.373228623E+00,-14.243058E-03
+303.125E-06,+4.391922090E+00,-13.991802E-03
+304.687E-06,+4.410615557E+00,-13.740546E-03
+306.250E-06,+4.429309025E+00,-13.489289E-03
+307.812E-06,+4.448002492E+00,-13.238033E-03
+309.375E-06,+4.466695959E+00,-12.986777E-03
+310.937E-06,+4.485389426E+00,-12.735520E-03
+312.500E-06,+4.504082893E+00,-12.484264E-03
+314.062E-06,+4.520967315E+00,-12.735520E-03
+315.625E-06,+4.537851737E+00,-12.986777E-03
+317.187E-06,+4.554736159E+00,-13.238033E-03
+318.750E-06,+4.571620581E+00,-13.489289E-03
+320.312E-06,+4.588505003E+00,-13.740546E-03
+321.875E-06,+4.605389425E+00,-13.991802E-03
+323.437E-06,+4.622273847E+00,-14.243058E-03
+325.000E-06,+4.639158269E+00,-14.494314E-03
+326.562E-06,+4.656042690E+00,-14.745571E-03
+328.125E-06,+4.672927112E+00,-14.996827E-03
+329.687E-06,+4.687801484E+00,-14.745571E-03
+331.250E-06,+4.702675856E+00,-14.494314E-03
+332.812E-06,+4.717550228E+00,-14.243058E-03
+334.375E-06,+4.732424599E+00,-13.991802E-03
+335.937E-06,+4.747298971E+00,-13.740546E-03
+337.500E-06,+4.762173343E+00,-13.489289E-03
+339.062E-06,+4.777047714E+00,-13.238033E-03
+340.625E-06,+4.791922086E+00,-12.986777E-03
+342.187E-06,+4.806796458E+00,-12.735520E-03
+343.750E-06,+4.821670829E+00,-12.484264E-03
+345.312E-06,+4.834334146E+00,-12.484264E-03
+346.875E-06,+4.846997462E+00,-12.484264E-03
+348.437E-06,+4.859660779E+00,-12.484264E-03
+350.000E-06,+4.872324095E+00,-12.484264E-03
+351.562E-06,+4.884987412E+00,-12.484264E-03
+353.125E-06,+4.897650728E+00,-12.484264E-03
+354.687E-06,+4.910314045E+00,-12.484264E-03
+356.250E-06,+4.922977361E+00,-12.484264E-03
+357.812E-06,+4.935640677E+00,-12.484264E-03
+359.375E-06,+4.948303994E+00,-12.484264E-03
+360.937E-06,+4.958756255E+00,-12.735520E-03
+362.500E-06,+4.969208516E+00,-12.986777E-03
+364.062E-06,+4.979660777E+00,-13.238033E-03
+365.625E-06,+4.990113039E+00,-13.489289E-03
+367.187E-06,+5.000565300E+00,-13.740546E-03
+368.750E-06,+5.011017561E+00,-13.991802E-03
+370.312E-06,+5.021469822E+00,-14.243058E-03
+371.875E-06,+5.031922083E+00,-14.494314E-03
+373.437E-06,+5.042374345E+00,-14.745571E-03
+375.000E-06,+5.052826606E+00,-14.996827E-03
+376.562E-06,+5.061268817E+00,-14.745571E-03
+378.125E-06,+5.069711028E+00,-14.494314E-03
+379.687E-06,+5.078153239E+00,-14.243058E-03
+381.250E-06,+5.086595450E+00,-13.991802E-03
+382.812E-06,+5.095037661E+00,-13.740546E-03
+384.375E-06,+5.103479872E+00,-13.489289E-03
+385.937E-06,+5.111922083E+00,-13.238033E-03
+387.500E-06,+5.120364294E+00,-12.986777E-03
+389.062E-06,+5.128806505E+00,-12.735520E-03
+390.625E-06,+5.137248715E+00,-12.484264E-03
+392.187E-06,+5.143077861E+00,-12.484264E-03
+393.750E-06,+5.148907007E+00,-12.484264E-03
+395.312E-06,+5.154736152E+00,-12.484264E-03
+396.875E-06,+5.160565298E+00,-12.484264E-03
+398.437E-06,+5.166394444E+00,-12.484264E-03
+400.000E-06,+5.172223589E+00,-12.484264E-03
+401.562E-06,+5.178052735E+00,-12.484264E-03
+403.125E-06,+5.183881881E+00,-12.484264E-03
+404.687E-06,+5.189711026E+00,-12.484264E-03
+406.250E-06,+5.195540172E+00,-12.484264E-03
+407.812E-06,+5.198957258E+00,-12.484264E-03
+409.375E-06,+5.202374343E+00,-12.484264E-03
+410.937E-06,+5.205791428E+00,-12.484264E-03
+412.500E-06,+5.209208514E+00,-12.484264E-03
+414.062E-06,+5.212625599E+00,-12.484264E-03
+415.625E-06,+5.216042684E+00,-12.484264E-03
+417.187E-06,+5.219459770E+00,-12.484264E-03
+418.750E-06,+5.222876855E+00,-12.484264E-03
+420.312E-06,+5.226293941E+00,-12.484264E-03
+421.875E-06,+5.229711026E+00,-12.484264E-03
+423.437E-06,+5.230515046E+00,-12.484264E-03
+425.000E-06,+5.231319066E+00,-12.484264E-03
+426.562E-06,+5.232123086E+00,-12.484264E-03
+428.125E-06,+5.232927106E+00,-12.484264E-03
