x-axis,v1,v2
second,Volt,Volt
+181.250E-06,+1.985427141E+00,+4.728643198E+00
+182.813E-06,+1.985427141E+00,+4.728643198E+00
+184.375E-06,+2.049748749E+00,+4.728643198E+00
+185.938E-06,+2.049748749E+00,+4.728643198E+00
+187.500E-06,+2.081909552E+00,+4.728643198E+00
+189.063E-06,+2.114070356E+00,+4.648241188E+00
+190.625E-06,+2.146231160E+00,+4.608040184E+00
+192.188E-06,+2.146231160E+00,+4.567839179E+00
+193.750E-06,+2.178391963E+00,+4.567839179E+00
+195.313E-06,+2.178391963E+00,+4.487437170E+00
+196.875E-06,+2.242713571E+00,+4.447236165E+00
+198.438E-06,+2.274874374E+00,+4.407035161E+00
+200.000E-06,+2.274874374E+00,+4.407035161E+00
+201.563E-06,+2.307035178E+00,+4.246231142E+00
+203.125E-06,+2.339195982E+00,+4.206030138E+00
+204.688E-06,+2.371356785E+00,+4.085427124E+00
+206.250E-06,+2.403517589E+00,+3.804020092E+00
+207.813E-06,+2.435678393E+00,+3.522613060E+00
+209.375E-06,+2.467839196E+00,+2.597989954E+00
+210.938E-06,+2.467839196E+00,+2.437185936E+00
+212.500E-06,+2.435678393E+00,+869.346756E-03
+214.063E-06,+2.532160804E+00,+507.537715E-03
+215.625E-06,+2.532160804E+00,+427.135706E-03
+217.188E-06,+2.564321607E+00,+346.733697E-03
+218.750E-06,+2.596482411E+00,+386.934701E-03
+220.313E-06,+2.564321607E+00,+306.532692E-03
+221.875E-06,+2.628643215E+00,+306.532692E-03
+223.438E-06,+2.660804018E+00,+266.331688E-03
+225.000E-06,+2.660804018E+00,+266.331688E-03
+226.563E-06,+2.692964822E+00,+145.728674E-03
+228.125E-06,+2.725125626E+00,+185.929678E-03
+229.687E-06,+2.821608037E+00,+145.728674E-03
+231.250E-06,+2.757286429E+00,+145.728674E-03
+232.812E-06,+2.853768840E+00,+145.728674E-03
+234.375E-06,+2.821608037E+00,+145.728674E-03
+235.937E-06,+2.821608037E+00,+145.728674E-03
+237.500E-06,+2.885929644E+00,+145.728674E-03
+239.062E-06,+2.918090448E+00,+105.527669E-03
+240.625E-06,+2.950251251E+00,+65.326665E-03
+242.187E-06,+2.950251251E+00,+65.326665E-03
+243.750E-06,+2.982412055E+00,+65.326665E-03
+245.312E-06,+3.046733662E+00,+105.527669E-03
+246.875E-06,+3.014572859E+00,+65.326665E-03
+248.437E-06,+3.078894466E+00,+65.326665E-03
+250.000E-06,+3.078894466E+00,+25.125660E-03
+251.562E-06,+3.111055270E+00,+65.326665E-03
+253.125E-06,+3.143216074E+00,+65.326665E-03
+254.687E-06,+3.175376877E+00,+25.125660E-03
+256.250E-06,+3.207537681E+00,+25.125660E-03
+257.812E-06,+3.207537681E+00,+25.125660E-03
+259.375E-06,+3.207537681E+00,+25.125660E-03
+260.937E-06,+3.271859288E+00,+25.125660E-03
+262.500E-06,+3.304020092E+00,+25.125660E-03
+264.062E-06,+3.304020092E+00,-15.075345E-03
+265.625E-06,+3.336180896E+00,-15.075345E-03
+267.187E-06,+3.368341699E+00,+25.125660E-03
+268.750E-06,+3.368341699E+00,+25.125660E-03
+270.312E-06,+3.400502503E+00,+25.125660E-03
+271.875E-06,+3.432663307E+00,+25.125660E-03
+273.437E-06,+3.464824110E+00,-15.075345E-03
+275.000E-06,+3.496984914E+00,-15.075345E-03
+276.562E-06,+3.529145718E+00,-15.075345E-03
+278.125E-06,+3.496984914E+00,-15.075345E-03
+279.687E-06,+3.561306521E+00,-15.075345E-03
+281.250E-06,+3.561306521E+00,-55.276349E-03
+282.812E-06,+3.593467325E+00,-15.075345E-03
+284.375E-06,+3.625628129E+00,+25.125660E-03
+285.937E-06,+3.625628129E+00,-55.276349E-03
+287.500E-06,+3.689949736E+00,-55.276349E-03
+289.062E-06,+3.689949736E+00,-15.075345E-03
+290.625E-06,+3.722110540E+00,-55.276349E-03
+292.187E-06,+3.722110540E+00,-15.075345E-03
+293.750E-06,+3.754271343E+00,-15.075345E-03
+295.312E-06,+3.818592951E+00,-15.075345E-03
+296.875E-06,+3.818592951E+00,-15.075345E-03
+298.437E-06,+3.850753754E+00,-15.075345E-03
+300.000E-06,+3.818592951E+00,-15.075345E-03
+301.562E-06,+3.882914558E+00,-15.075345E-03
+303.125E-06,+3.882914558E+00,-15.075345E-03
+304.687E-06,+3.915075362E+00,-15.075345E-03
+306.250E-06,+3.947236165E+00,-15.075345E-03
+307.812E-06,+3.947236165E+00,-15.075345E-03
+309.375E-06,+4.011557773E+00,-15.075345E-03
+310.937E-06,+4.011557773E+00,-15.075345E-03
+312.500E-06,+4.011557773E+00,+25.125660E-03
+314.062E-06,+4.108040184E+00,-55.276349E-03
+315.625E-06,+4.075879380E+00,-15.075345E-03
+317.187E-06,+4.108040184E+00,-15.075345E-03
+318.750E-06,+4.140200987E+00,-15.075345E-03
+320.312E-06,+4.140200987E+00,-15.075345E-03
+321.875E-06,+4.204522595E+00,-15.075345E-03
+323.437E-06,+4.172361791E+00,-15.075345E-03
+325.000E-06,+4.204522595E+00,-15.075345E-03
+326.562E-06,+4.236683398E+00,-55.276349E-03
+328.125E-06,+4.236683398E+00,-55.276349E-03
+329.687E-06,+4.268844202E+00,-15.075345E-03
+331.250E-06,+4.301005006E+00,-15.075345E-03
+332.812E-06,+4.301005006E+00,-15.075345E-03
+334.375E-06,+4.301005006E+00,-15.075345E-03
+335.937E-06,+4.365326613E+00,-15.075345E-03
+337.500E-06,+4.333165810E+00,-15.075345E-03
+339.062E-06,+4.365326613E+00,-15.075345E-03
+340.625E-06,+4.397487417E+00,-15.075345E-03
+342.187E-06,+4.429648221E+00,-15.075345E-03
